@relation 'kyoto-train-99-1'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute Label {A,N}

@data
0.000015,0.019111,0.034483,0.190476,1,0,0,0.17,1,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,N
0.000013,0.016,0.017931,0.047619,1,0,0,0.56,0.99,0,0,0,N
0.000013,0.021778,0.022414,0.238095,1,0,0,0.28,1,0,0,0,N
0.000014,0.019556,0.036207,0.035714,1,0,0,0.94,0.96,0,0,0,N
0.019396,0.020444,0.015862,0.011905,1,0,0,0.05,0.05,0,0,0,N
0.000013,0.018667,0.035862,0.02381,1,0,0,0.56,0.59,0,0,0,N
0.000014,0.019556,0.026207,0.059524,1,0,0,0.57,1,0,0,0,N
0,0.016,0.017931,0.059524,1,0,0,0.56,0.99,0,0,0,N
0.000014,0.019556,0.036207,0.059524,1,0,0,0.91,0.91,0,0,0,N
0.000013,0.02,0.033793,0.035714,1,0,0,0.97,0.97,0,0,0,N
0.019103,0.020444,0.015862,0,0,0,0,0.1,0.49,0,0,0,N
0.000013,0.020444,0.03,0.059524,1,0,0,0.98,0.98,0,0,0,N
0.000022,0.023111,0.077931,0,0,0,1,0,0.11,0,0,0,N
0.000038,0.02,0.068621,0.035714,1,0,0,0,0.15,0,0,0,N
0.000012,0.024444,0.033448,0.02381,1,0,0,0.58,0.99,0,0,0,N
0.000016,0.02,0.021034,0.095238,1,0,0,0.97,0.97,0,0,0,N
0.000014,0.02,0.033793,0.02381,1,0,0,0.97,0.97,0,0,0,N
0.000014,0.016,0.017931,0.071429,1,0,0,0.52,1,0,0,0,N
0.069538,0.238222,0.53931,0.011905,1,0,0,0.1,0.1,0,0,0,N
0.000014,0.02,0.021034,0.095238,1,0,0,1,1,0,0,0,N
0.000012,0.028444,0.036552,0.047619,1,0,0,1,1,0,0,0,N
0.000029,0.02,0.031034,0.321429,1,0,0,0.29,1,0,0,0,N
0.000013,0.02,0.021034,0.083333,1,0,0,0.99,0.99,0,0,0,N
0.122738,0.231111,0.53931,0,0,0,0,0.19,0.19,0,0,0,N
0.000012,0.02,0.035172,0.059524,1,0,0,0.98,0.98,0,0,0,N
