@relation 'gendata-v1'

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute class {c0,c1}

@data
0.949583,0.030513,69.1655,0.851691,c0
0.049411,0.582272,85.1243,0.228674,c1
0.83936,0.688995,79.7657,0.123724,c0
0.227267,0.142865,5.0627,0.130926,c0
0.057926,0.46031,46.7953,0.253114,c1
0.789342,0.771926,34.5293,0.724587,c0
0.884407,0.422578,16.8779,0.156284,c0
0.17434,0.563411,9.7318,0.161248,c0
0.633993,0.527972,2.8638,0.556699,c0
0.597418,0.488357,90.5295,0.040966,c0
0.460577,0.394568,80.0197,0.329428,c0
0.661305,0.732526,70.5052,0.53149,c0
0.000966,0.949644,36.0114,0.629696,c1
0.177985,0.491581,90.9954,0.282462,c0
0.740298,0.269812,64.747,0.81347,c0
0.531949,0.036826,61.7187,0.173676,c0
0.108481,0.584288,38.8884,0.86592,c1
0.526417,0.89918,88.3931,0.307533,c0
0.374053,0.413971,73.9211,0.872908,c0
0.903942,0.269022,32.7318,0.905852,c0
0.651872,0.068979,21.6746,0.320664,c0
0.982789,0.959581,55.2093,0.021199,c0
0.591045,0.977304,56.1814,0.258807,c0
0.100512,0.531517,15.9876,0.222885,c1
0.559502,0.567232,39.768,0.611857,c0
0.806126,0.426352,34.3935,0.667791,c0
0.391611,0.676198,82.2667,0.174411,c0
0.992273,0.206408,32.3379,0.216174,c0
0.015258,0.708722,31.239,0.075121,c1
0.408811,0.248909,12.0666,0.502616,c0
0.524785,0.01609,56.1025,0.744649,c0
0.249205,0.491896,43.6347,0.122264,c0
0.516194,0.220424,14.05,0.672737,c0
0.751147,0.079626,62.4943,0.342524,c0
0.75103,0.455813,10.6535,0.48956,c0
0.002797,0.005095,2.5861,0.000366,c1
0.46534,0.749149,93.0413,0.156518,c0
0.396069,0.097351,15.3264,0.495383,c0
0.89012,0.013334,38.5417,0.301615,c0
0.418342,0.951253,49.8787,0.038784,c0
0.799659,0.375497,26.6816,0.984589,c0
0.724029,0.647327,95.1022,0.568455,c0
0.154175,0.812905,7.431,0.426948,c0
0.67739,0.35938,8.5658,0.99025,c0
0.153164,0.3192,3.5854,0.492067,c0
0.808015,0.197527,83.0209,0.655686,c0
0.265856,0.073622,10.1756,0.950498,c0
0.870356,0.884282,25.7203,0.236162,c0
0.055191,0.335891,78.7949,0.81566,c1
0.448746,0.111384,50.9777,0.403899,c0
0.861719,0.039381,99.7363,0.285051,c0
0.299284,0.674994,11.3541,0.979727,c0
0.663829,0.305263,19.8282,0.072155,c0
0.870011,0.736936,17.866,0.45789,c0
0.680719,0.350252,58.8607,0.164187,c0
0.690771,0.80963,24.6027,0.06802,c0
0.534504,0.510641,12.4926,0.29083,c0
0.57417,0.312373,78.1448,0.784437,c0
0.037876,0.35525,54.5295,0.639142,c1
0.819041,0.796632,57.1754,0.942935,c0
0.923719,0.109965,76.4641,0.599759,c0
0.857809,0.187992,52.6717,0.375206,c0
0.08309,0.866518,27.1689,0.579571,c1
0.039182,0.64243,64.0714,0.221055,c1
0.127956,0.298166,40.6323,0.166027,c0
0.487552,0.864557,11.8016,0.828575,c0
0.345121,0.854915,64.6282,0.178211,c0
0.230533,0.985501,91.5616,0.40242,c0
0.357724,0.660963,28.2107,0.389857,c0
0.036027,0.348066,20.7514,0.310352,c1
0.060723,0.587005,10.9229,0.959462,c1
0.650232,0.796843,52.435,0.208202,c0
0.646776,0.220056,1.6126,0.852636,c0
0.377994,0.320922,57.2298,0.393409,c0
0.788924,0.703461,59.7435,0.791868,c0
0.196917,0.146851,98.5126,0.047293,c0
0.29647,0.669731,17.0935,0.518848,c0
0.846623,0.629519,51.333,0.276218,c0
0.810479,0.738871,82.7306,0.404504,c0
0.584585,0.538598,40.4248,0.111793,c0
0.355293,0.304865,39.1576,0.691918,c0
0.549929,0.588219,97.7057,0.88029,c0
0.812468,0.582947,42.5145,0.907269,c0
0.926609,0.307522,64.6561,0.601403,c0
0.633544,0.140347,64.7314,0.223959,c0
0.347372,0.599749,89.9683,0.326531,c0
0.358051,0.383144,40.5211,0.815089,c0
0.229907,0.587526,97.8549,0.576729,c0
0.753161,0.721895,7.1022,0.479424,c0
0.986596,0.591999,27.4095,0.290488,c0
0.641383,0.388689,49.5437,0.076021,c0
0.299267,0.343475,68.4082,0.941491,c0
0.732721,0.128287,89.6219,0.552666,c0
0.900345,0.771224,43.9438,0.736518,c0
0.027686,0.236006,81.0794,0.60327,c1
0.551837,0.970105,15.283,0.053636,c0
0.607583,0.664992,99.1774,0.239405,c0
0.163517,0.191658,9.3361,0.530852,c0
0.878469,0.175556,37.4322,0.811102,c0
0.241759,0.957337,94.1328,0.465361,c0
0.585192,0.749212,49.4257,0.2621,c0
0.110386,0.641525,52.6904,0.433571,c1
0.161917,0.740082,98.5813,0.654676,c0
0.594969,0.121996,30.6698,0.292037,c0
0.235542,0.486327,3.7953,0.249229,c0
0.111973,0.34547,58.2052,0.969482,c0
0.348423,0.354254,93.8148,0.67377,c0
0.354147,0.905937,71.3025,0.710043,c0
0.216789,0.437752,8.2526,0.96847,c0
0.013582,0.983382,83.1937,0.67791,c0
