@relation gendata-v2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute class {c0,c1}

@data
0.949635,0.025595,0.693336,0.855361,c0
0.049226,0.581186,0.853423,0.22939,c1
0.839383,0.68865,0.79967,0.123943,c0
0.227129,0.138727,0.050304,0.131179,c0
0.057743,0.458377,0.468935,0.253946,c1
0.789352,0.772157,0.345891,0.727655,c0
0.884442,0.420383,0.168825,0.156657,c0
0.174188,0.562194,0.097141,0.161645,c0
0.633962,0.526509,0.028246,0.558971,c0
0.597377,0.486619,0.907644,0.040792,c0
0.4605,0.392178,0.802218,0.330622,c0
0.661281,0.732484,0.706775,0.533642,c0
0.000768,0.95111,0.360758,0.632314,c1
0.177834,0.489865,0.912318,0.283434,c0
0.740295,0.266556,0.649013,0.816959,c0
0.531891,0.031951,0.618635,0.174132,c0
0.108311,0.583216,0.389618,0.869658,c1
0.526357,0.900295,0.886213,0.308623,c0
0.373953,0.411716,0.741041,0.876679,c0
0.903982,0.26576,0.32786,0.909779,c0
0.651845,0.064328,0.216942,0.321817,c0
0.982849,0.961116,0.553338,0.020932,c0
0.591002,0.978962,0.563089,0.259666,c0
0.10034,0.530078,0.159894,0.223574,c1
0.559451,0.566042,0.398442,0.61439,c0
0.80614,0.424183,0.344529,0.67059,c0
0.391516,0.675764,0.824758,0.17487,c0
0.992336,0.202711,0.323909,0.216831,c0
0.015064,0.708514,0.312885,0.075109,c1
0.40872,0.245508,0.120562,0.504631,c0
0.524725,0.011071,0.562298,0.747812,c0
0.249073,0.490182,0.43723,0.122476,c0
0.516132,0.216825,0.140458,0.675559,c0
0.751147,0.075049,0.626416,0.34378,c0
0.75103,0.453849,0.106387,0.491513,c0
0.0026,0,0.02546,0,c1
0.465264,0.749222,0.932841,0.156892,c0
0.395975,0.092897,0.153262,0.497364,c0
0.890156,0.008296,0.386141,0.302677,c0
0.418254,0.95273,0.499865,0.0386,c0
0.799671,0.372975,0.267169,0.98889,c0
0.724021,0.646693,0.953514,0.570783,c0
0.154018,0.813421,0.074061,0.428605,c0
0.67737,0.356746,0.085444,0.994577,c0
0.153006,0.316287,0.035485,0.494032,c0
0.80803,0.193769,0.832323,0.658427,c0
0.265728,0.069003,0.101593,0.954637,c0
0.870387,0.885294,0.257526,0.236914,c0
0.055007,0.333094,0.789931,0.81916,c1
0.448666,0.107027,0.510889,0.405446,c0
0.861748,0.034524,1,0.286035,c0
0.299165,0.674552,0.113415,0.984005,c0
0.663806,0.302253,0.19842,0.072129,c0
0.870042,0.736924,0.178737,0.459693,c0
0.6807,0.347554,0.589966,0.164598,c0
0.690755,0.810123,0.246315,0.067975,c0
0.534447,0.509057,0.124835,0.291841,c0
0.574123,0.309412,0.78341,0.787789,c0
0.037688,0.352587,0.546518,0.641805,c1
0.819058,0.797035,0.57306,0.947038,c0
0.923764,0.105598,0.76655,0.602235,c0
0.857837,0.184167,0.527882,0.376617,c0
0.082914,0.867406,0.272057,0.581951,c1
0.038994,0.641762,0.642236,0.221735,c1
0.127792,0.295107,0.407112,0.166446,c0
0.487482,0.865432,0.117904,0.832136,c0
0.345014,0.855723,0.647821,0.178688,c0
0.230396,0.987216,0.917997,0.40396,c0
0.35762,0.660424,0.282508,0.391338,c0
0.035838,0.345353,0.207681,0.311456,c1
0.060541,0.585952,0.109089,0.963643,c1
0.650205,0.797247,0.525508,0.208821,c0
0.646748,0.216454,0.015695,0.856311,c0
0.377895,0.318021,0.573606,0.394907,c0
0.788933,0.703217,0.598822,0.795255,c0
0.196771,0.142741,0.987725,0.047149,c0
0.29635,0.669253,0.170988,0.52094,c0
0.846648,0.628761,0.514454,0.27716,c0
0.810494,0.738873,0.829411,0.406054,c0
0.584541,0.537209,0.40503,0.111955,c0
0.355188,0.301852,0.392319,0.694831,c0
0.549876,0.587174,0.979631,0.884096,c0
0.812484,0.581866,0.425993,0.911203,c0
0.926655,0.304528,0.648101,0.603887,c0
0.633513,0.136191,0.648856,0.224653,c0
0.347265,0.598784,0.902015,0.327711,c0
0.357947,0.380675,0.405996,0.818586,c0
0.229769,0.586477,0.981127,0.579096,c0
0.753161,0.721779,0.070763,0.481329,c0
0.986657,0.590981,0.274471,0.291498,c0
0.641354,0.386258,0.496505,0.076014,c0
0.299148,0.34073,0.685739,0.945587,c0
0.732716,0.124048,0.89854,0.554919,c0
0.900384,0.77145,0.440331,0.739642,c0
0.027495,0.232515,0.812848,0.605763,c1
0.551784,0.971713,0.152826,0.053523,c0
0.607545,0.664481,0.994394,0.240172,c0
0.163362,0.187859,0.093171,0.533001,c0
0.878502,0.171645,0.375011,0.81458,c0
0.241625,0.958856,0.94379,0.4672,c0
0.585148,0.749286,0.495321,0.262975,c0
0.110217,0.640851,0.52807,0.435259,c1
0.161762,0.740092,0.988414,0.657412,c0
0.594927,0.117713,0.307175,0.293054,c0
0.235406,0.484575,0.03759,0.250043,c0
0.111804,0.342739,0.58339,0.973711,c0
0.348317,0.351584,0.9406,0.676597,c0
0.354042,0.907099,0.714773,0.713042,c0
0.216648,0.435662,0.082303,0.972694,c0
0.013388,0.985082,0.834057,0.680756,c0
0.091112,0.38328,0.081067,0.54262,c0
0.23369,0.237122,0.812448,0.083536,c0
0.035837,0.075619,0.840485,0.314916,c1
0.732476,0.524152,0.484739,0.242163,c0
0.192417,0.133442,0.735766,0.613009,c0
0.785669,0.476037,0.387312,0.22063,c0
0.345103,0.454345,0.289885,0.548694,c0
0.515686,0.382255,0.505136,0.99759,c0
0.353969,0.279166,0.94534,0.983314,c0
0.173687,0.888541,0.793397,0.255691,c0
0.272125,0.515243,0.816312,0.290958,c0
0.358167,0.380827,0.468302,0.30522,c0
0.213421,0.233411,0.591175,0.541997,c0
0.360568,0.217327,0.334267,0.667852,c0
0.287128,0.653231,0.906033,0.782023,c0
0.080723,0.033806,0.627949,0.348734,c0
0.16587,0.981261,0.848319,0.550592,c0
0.202171,0.841931,0.15103,0.915198,c0
0.103725,0.927299,0.478339,0.86461,c1
0.568714,0.663092,0.708165,0.746744,c0
0.470095,0.808531,0.476198,0.18986,c0
0.954727,0.921092,0.051654,0.209691,c0
0.115854,0.472747,0.297324,0.255909,c1
0.669706,0.783975,0.922731,0.585617,c0
0.139908,0.537392,0.483086,0.65016,c1
0.689412,0.195755,0.833177,0.933467,c0
0.869349,0.630466,0.980045,0.562897,c0
0.252907,0.36822,0.709983,0.330622,c0
0.121767,0.647399,0.612742,0.183085,c1
0.120093,0.824203,0.557725,0.127763,c1
0.06801,0.213386,0.096409,0.524325,c0
0.928126,0.391019,0.700394,0.098817,c0
0.255928,0.8549,0.192299,0.711542,c0
0.339076,0.731971,0.330814,0.703801,c0
0.617754,0.531653,0.902961,0.048107,c0
0.923372,0.179186,0.393454,0.82449,c0
0.523874,0.64039,0.83359,0.377376,c0
0.963147,0.118917,0.020941,0.678896,c0
0.201044,0.541077,0.108989,0.484858,c0
0.625398,0.112682,0.070394,0.781594,c0
0.080311,0.220328,0.455063,0.661672,c0
0.190252,0.481074,0.472082,0.125045,c0
0.891756,0.743355,0.31718,0.635209,c0
0.278349,0.113491,0.422455,0.022458,c0
0.571462,0.45301,0.191544,0.447346,c0
0.26776,0.678523,0.673121,0.209109,c0
0.300338,0.230412,0.493462,0.045416,c0
0.343259,0.46699,0.396251,0.173474,c0
0.236082,0.168086,0.618326,0.635439,c0
0.867711,0.622238,0.417048,0.855392,c0
0.758879,0.466628,0.077011,0.046231,c0
0.017227,0.444557,0.779691,0.090164,c1
0.294862,0.485689,0.831842,0.727407,c0
