@relation 'DDoS'

@attribute ' Protocol' {0,6,17}
@attribute ' Flow Duration' numeric
@attribute ' Total Fwd Packets' numeric
@attribute ' Total Backward Packets' numeric
@attribute 'Total Length of Fwd Packets' numeric
@attribute ' Total Length of Bwd Packets' numeric
@attribute ' Fwd Packet Length Max' numeric
@attribute ' Fwd Packet Length Min' numeric
@attribute ' Fwd Packet Length Mean' numeric
@attribute ' Fwd Packet Length Std' numeric
@attribute 'Bwd Packet Length Max' numeric
@attribute ' Bwd Packet Length Min' numeric
@attribute ' Bwd Packet Length Mean' numeric
@attribute ' Bwd Packet Length Std' numeric
@attribute 'Flow Bytes/s' numeric
@attribute ' Flow Packets/s' numeric
@attribute ' Flow IAT Mean' numeric
@attribute ' Flow IAT Std' numeric
@attribute ' Flow IAT Max' numeric
@attribute ' Flow IAT Min' numeric
@attribute 'Fwd IAT Total' numeric
@attribute ' Fwd IAT Mean' numeric
@attribute ' Fwd IAT Std' numeric
@attribute ' Fwd IAT Max' numeric
@attribute ' Fwd IAT Min' numeric
@attribute 'Bwd IAT Total' numeric
@attribute ' Bwd IAT Mean' numeric
@attribute ' Bwd IAT Std' numeric
@attribute ' Bwd IAT Max' numeric
@attribute ' Bwd IAT Min' numeric
@attribute 'Fwd PSH Flags' numeric
@attribute ' Bwd PSH Flags' numeric
@attribute ' Fwd URG Flags' numeric
@attribute ' Bwd URG Flags' numeric
@attribute ' Fwd Header Length' numeric
@attribute ' Bwd Header Length' numeric
@attribute 'Fwd Packets/s' numeric
@attribute ' Bwd Packets/s' numeric
@attribute ' Min Packet Length' numeric
@attribute ' Max Packet Length' numeric
@attribute ' Packet Length Mean' numeric
@attribute ' Packet Length Std' numeric
@attribute ' Packet Length Variance' numeric
@attribute 'FIN Flag Count' numeric
@attribute ' SYN Flag Count' numeric
@attribute ' RST Flag Count' numeric
@attribute ' PSH Flag Count' numeric
@attribute ' ACK Flag Count' numeric
@attribute ' URG Flag Count' numeric
@attribute ' CWE Flag Count' numeric
@attribute ' ECE Flag Count' numeric
@attribute ' Down/Up Ratio' numeric
@attribute ' Average Packet Size' numeric
@attribute ' Avg Fwd Segment Size' numeric
@attribute ' Avg Bwd Segment Size' numeric
@attribute 'Fwd Avg Bytes/Bulk' numeric
@attribute ' Fwd Avg Packets/Bulk' numeric
@attribute ' Fwd Avg Bulk Rate' numeric
@attribute ' Bwd Avg Bytes/Bulk' numeric
@attribute ' Bwd Avg Packets/Bulk' numeric
@attribute 'Bwd Avg Bulk Rate' numeric
@attribute 'Subflow Fwd Packets' numeric
@attribute ' Subflow Fwd Bytes' numeric
@attribute ' Subflow Bwd Packets' numeric
@attribute ' Subflow Bwd Bytes' numeric
@attribute Init_Win_bytes_forward numeric
@attribute ' Init_Win_bytes_backward' numeric
@attribute ' act_data_pkt_fwd' numeric
@attribute ' min_seg_size_forward' numeric
@attribute 'Active Mean' numeric
@attribute ' Active Std' numeric
@attribute ' Active Max' numeric
@attribute ' Active Min' numeric
@attribute 'Idle Mean' numeric
@attribute ' Idle Std' numeric
@attribute ' Idle Max' numeric
@attribute ' Idle Min' numeric
@attribute ' Label' {BENIGN,DDoS}

@data
6,902829,1,6,6,36,6,6,6,0,6,6,6,0,46.520437,7.753406,150471.5,354819.4708,874584,7,0,0,0,0,0,882979,176595.8,390195.4359,874584,7,0,0,0,0,20,120,1.107629,6.645777,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857143,6,6,0,0,0,0,0,0,1,6,6,36,229,0,0,20,0,0,0,0,0,0,0,0,BENIGN
17,247,2,2,64,258,32,32,32,0,129,129,129,0,1303643.725,16194.33198,82.333333,102.889909,198,1,1,1,0,1,1,48,48,0,48,48,0,0,0,0,40,40,8097.165992,8097.165992,32,129,70.8,53.129088,2822.7,0,0,0,0,0,0,0,0,1,88.5,32,129,0,0,0,0,0,0,2,64,2,258,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
17,30804,4,2,176,152,44,44,44,0,76,76,76,0,10647.9678,194.779899,6160.8,13356.45895,30048,1,30115,10038.33333,17328.91013,30048,1,3,3,0,3,3,0,0,0,0,104,40,129.853266,64.926633,44,76,53.142857,15.614401,243.809524,0,0,0,0,0,0,0,0,0,62,44,76,0,0,0,0,0,0,4,176,2,152,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
6,12882235,43,62,3283,77851,517,0,76.348837,151.997319,4595,0,1255.66129,911.634884,6298.13072,8.15076,123867.6442,948937.2971,9653472,4,12900000,306719.881,1530837.072,9947781,4,12600000,207126.4098,1238827.151,9653472,48,0,0,0,0,920,1252,3.33793,4.812829,0,4595,765.415094,913.236285,834000.5118,0,0,0,1,0,0,0,0,1,772.704762,76.348837,1255.66129,0,0,0,0,0,0,43,3283,62,77851,8192,286,38,20,3228641,0,3228641,3228641,9653472,0,9653472,9653472,BENIGN
6,132778,4,3,11607,26,11595,0,2901.75,5795.50069,20,0,8.666667,10.263203,87612.40567,52.719577,22129.66667,53851.66523,132053,4,132778,44259.33333,76032.39081,132053,4,629,314.5,376.887914,581,48,0,0,0,0,92,72,30.125473,22.594104,0,11595,1454.125,4097.537534,16800000,0,0,0,1,1,0,0,0,0,1661.857143,2901.75,8.666667,0,0,0,0,0,0,4,11607,3,26,29200,256,3,20,0,0,0,0,0,0,0,0,BENIGN
17,24417,2,2,70,226,35,35,35,0,113,113,113,0,12122.7014,163.820289,8139,14053.01224,24366,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,80,64,81.910145,81.910145,35,113,66.2,42.722359,1825.2,0,0,0,0,0,0,0,0,1,82.75,35,113,0,0,0,0,0,0,2,70,2,226,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
17,95263,2,2,80,226,40,40,40,0,113,113,113,0,3212.16002,41.98902,31754.33333,54995.78859,95258,1,1,1,0,1,1,4,4,0,4,4,0,0,0,0,64,64,20.99451,20.99451,40,113,69.2,39.983747,1598.7,0,0,0,0,0,0,0,0,1,86.5,40,113,0,0,0,0,0,0,2,80,2,226,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
17,251,2,2,82,152,41,41,41,0,76,76,76,0,932270.9163,15936.25498,83.666667,138.85364,244,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,7968.12749,7968.12749,41,76,55,19.17029,367.5,0,0,0,0,0,0,0,0,1,68.75,41,76,0,0,0,0,0,0,2,82,2,152,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
17,1087,2,2,84,204,42,42,42,0,102,102,102,0,264949.402,3679.852806,362.333333,621.517766,1080,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,1839.926403,1839.926403,42,102,66,32.863353,1080,0,0,0,0,0,0,0,0,1,82.5,42,102,0,0,0,0,0,0,2,84,2,204,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
6,65,1,1,6,6,6,6,6,0,6,6,6,0,184615.3846,30769.23077,65,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15384.61538,15384.61538,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,119,255,0,20,0,0,0,0,0,0,0,0,BENIGN
