@relation 'kyoto-train-90-10'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute Label {N,A}

@data
0.132447,0.224444,0.53931,0.011905,1,0,0,0.52,0.51,0,0,0,N
0.000014,0.019111,0.034483,0.202381,1,0,0,0.14,1,0,0,0,N
0.000017,0.019111,0.034138,0.035714,1,0,0,0.03,0.05,0,0,0,N
0.000024,0.016,0.017931,0.095238,1,0,0,0.51,0.97,0,0,0,N
0.000039,0.02,0.03,0.035714,1,0,0,0.01,0.21,0,0,0,N
0.000012,0.016,0.017931,0.035714,1,0,0.4,0.56,0.99,0,0,0,N
0.000013,0.021333,0.076552,0.083333,1,0,0,0.01,0.25,0,0,0,N
0.031692,0.276,0.562759,0.035714,1,0,0,0.19,0.19,0,0,0,N
0.02223,0.224444,0.53931,0.059524,1,0,0,1,0.97,0,0,0,N
0.074136,0.224444,0.53931,0.011905,1,0,0,0.99,0.99,0,0,0,N
0.059528,0.224444,0.53931,0.011905,1,0,0,0.99,0.99,0,0,0,N
0.000013,0.02,0.068621,0.011905,0,1,0,0,0.02,0,0,0,N
0.000013,0.02,0.033793,0.02381,1,0,0,0.97,0.97,0,0,0,N
0.099238,0.008889,0.249655,0,0,0,0.5,0.03,0.03,0,0,0,N
0.074203,0.224444,0.53931,0.011905,1,0,0,0.99,0.99,0,0,0,N
0.000013,0.024444,0.033448,0.071429,1,0,0,0.57,1,0,0,0,N
0.019183,0.020444,0.015862,0,0,0,0,0.12,0.12,0,0,0,N
0,0,0,0,0,0,0.67,0,0,0,0,0,N
0.000014,0.025778,0.031724,0.166667,1,0,0,0.12,1,0,0,0,N
0.000014,0.016,0.017931,0.011905,1,0,0,0.01,0.01,0,0,0,N
0.000013,0.028444,0.036552,0.071429,1,0,0,1,1,0,0,0,N
0.000021,0.02,0.033793,0.02381,1,0,0,0.96,0.97,0,0,0,N
0.000029,0.023556,0.068621,0,0,0,0,0,0,0,0,0,N
0.000033,0.02,0.083793,0,0,0,0,0,0.08,0,0,0,N
0.000013,0.02,0.021034,0.083333,1,0,0,1,1,0,0,0,N
0.019469,0.020444,0.015862,0,0,0,0,0.16,0.16,0,0,0,N
0.000015,0.02,0.035172,0.083333,1,0,0.12,0.97,0.97,0,0,0,N
0.000016,0.019111,0.034483,0.178571,1,0,0,0.18,1,0,0,0,N
0.000012,0.028444,0.036552,0.071429,1,0,0,0.96,0.98,0,0,0,N
0.032836,0.276,0.562759,0.02381,1,0,0,0.17,0.16,0,0,0,N
0.000012,0.02,0.035172,0.083333,1,0,0,0.99,0.99,0,0,0,N
0.000549,0.021333,0.016552,0,0,0,0.57,0.03,0.03,1,0,0,N
0.000013,0.02,0.027586,0.142857,1,0,0,0.83,0.98,0,0,0,N
0.000014,0.028444,0.036552,0.071429,1,0,0,0.98,0.98,0,0,0,N
0.019389,0.020444,0.015862,0.011905,1,0,0,0.05,0.05,0,0,0,N
0,0,0,0,0,0,0.5,0,0,0,0,0,N
0.032815,0.276,0.562759,0.02381,1,0,0,0.17,0.17,0,0,0,N
0.000001,0.020444,0.03,0.071429,1,0,0,0.94,0.96,0,0,0,N
0.192437,0.231111,0.53931,0,0,0,0,0.23,0.23,0,0,0,N
0.000014,0.019111,0.034483,0.178571,1,0,0,0.17,1,0,0,0,N
0.000017,0.019556,0.026207,0.047619,1,0,0.2,0.56,1,0,0,0,N
0.000013,0.018222,0.028621,0.011905,1,0,0,0.01,0.02,0,0,0,N
0.000013,0.016,0.03,0.059524,1,0,0,0.56,1,0,0,0,N
0.000747,0.028444,0.036552,0.095238,1,0,0,0.97,0.97,0,0,0,N
0.000023,0.015111,0.026207,0,0,0,0.25,0,0.03,0,0,0,N
0.00003,0.013333,0.064828,0,0,0,0,0.01,0.01,0,0,0,N
0.28137,0.013333,0.12,0,0,0,0,0,0,0,0,0,N
0.051971,0.231111,0.53931,0.059524,1,0,0,0.18,0.18,0,0,0,N
0,0,0,0,0,0,0.33,0.01,0.01,1,1,1,N
0.019376,0.020444,0.015862,0,0,0,0,0,0,0,0,0,N
0.000014,0.017333,0.028621,0.083333,1,0,0,0.78,0.93,0,0,0,N
0.000013,0.02,0.035172,0.083333,1,0,0.12,0.88,0.88,0,0,0,N
0.000021,0.021333,0.076552,0.047619,1,0,0,0,0.11,0,0,0,N
0.032337,0.224444,0.53931,0.02381,1,0,0,0.98,0.96,0,0,0,N
0.00064,0.038667,0.044483,0.035714,1,0,0,0.16,0.42,0,0,0,N
0.00819,0.032889,0.04,0.095238,1,0,0,0.02,0.97,0,0,0,N
0.000013,0.02,0.033793,0.035714,1,0,0,0.98,0.98,0,0,0,N
0.000014,0.030222,0.037931,0.285714,1,0,0,0.28,1,0,0,0,N
0.000013,0.016889,0.034138,0.345238,1,0,0,0.1,1,0,0,0,N
0.031472,0.276,0.562759,0.011905,1,0,0,0.16,0.16,0,0,0,N
0,0,0,0,0,0,0.25,0,0,0,0,0,N
0.000013,0.02,0.021034,0.083333,1,0,0.22,0.96,0.96,0,0,0,N
0.000014,0.02,0.021034,0.095238,1,0,0,0.99,0.99,0,0,0,N
0.003885,0.018667,0.014483,0.107143,1,0,0,0.1,0.77,0,0,0,N
0.000014,0.02,0.021034,0.095238,1,0,0,0.99,0.99,0,0,0,N
0.000022,0.02,0.03,0,0,0,0,0,0.08,0,0,0,N
0,0,0,0,0,0,0.99,0,0,0,0,0,N
